,곡명,가수명,좋아요_수
0,"
바라만 본다
",MSG워너비(M.O.M),"134,987"
1,"
신호등
",이무진,"153,361"
2,"
Next Level
",aespa,"182,173"
3,"
낙하 (with 아이유)
",AKMU (악뮤),"71,383"
4,"
Permission to Dance
",방탄소년단,"149,885"
5,"
Weekend
",태연 (TAEYEON),"100,942"
6,"
Butter
",방탄소년단,"233,273"
7,"
헤픈 우연
",헤이즈 (Heize),"137,179"
8,"
Peaches (Feat. Daniel Caesar & Giveon)
",Justin Bieber,"186,174"
9,"
Dun Dun Dance
",오마이걸 (OH MY GIRL),"134,565"
10,"
좋아좋아
",조정석,"42,986"
11,"
롤린 (Rollin')
",브레이브걸스,"285,219"
12,"
치맛바람 (Chi Mat Ba Ram)
",브레이브걸스,"88,113"
13,"
Alcohol-Free
",TWICE (트와이스),"68,555"
14,"
Dynamite
",방탄소년단,"419,948"
15,"
OHAYO MY NIGHT
","디핵 (D-Hack), PATEKO (파테코)","79,116"
16,"
라일락
",아이유,"209,357"
17,"
비와 당신
",이무진,"67,791"
18,"
나를 아는 사람
",MSG워너비(정상동기),"66,308"
19,"
ASAP
",STAYC(스테이씨),"116,743"
20,"
Celebrity
",아이유,"294,823"
21,"
안녕 (Hello)
",조이 (JOY),"97,581"
22,"
하루만 더
",빅마마,"37,800"
23,"
운전만해 (We Ride)
",브레이브걸스,"126,657"
24,"
사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
",호미들,"101,801"
25,"
상상더하기
",라붐 (LABOUM),"118,918"
26,"
상상더하기
","MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","59,662"
27,"
Timeless
",SG 워너비,"99,729"
28,"
내 손을 잡아
",아이유,"163,064"
29,"
멜로디
",ASH ISLAND,"100,634"
30,"
밝게 빛나는 별이 되어 비춰줄게
",송이한,"88,644"
31,"
비가 오는 날엔 (2021)
",헤이즈 (Heize),"13,520"
32,"
Savage Love (Laxed - Siren Beat) (BTS Remix)
","Jawsh 685, Jason Derulo, 방탄소년단","181,890"
33,"
밤하늘의 별을(2020)
",경서,"159,372"
34,"
Lovesick Girls
",BLACKPINK,"196,881"
35,"
다정히 내 이름을 부르면
","경서예지, 전건호","33,247"
36,"
Dolphin
",오마이걸 (OH MY GIRL),"188,584"
37,"
Bad Habits
",Ed Sheeran,"33,836"
38,"
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
",방탄소년단,"427,135"
39,"
어푸 (Ah puh)
",아이유,"92,409"
40,"
어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
",AKMU (악뮤),"356,533"
41,"
라라라
",SG 워너비,"82,950"
42,"
Blueming
",아이유,"314,079"
43,"
아로하
",조정석,"223,953"
44,"
LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
","양요섭, 정은지","98,119"
45,"
에잇(Prod.&Feat. SUGA of BTS)
",아이유,"364,232"
46,"
가을 우체국 앞에서
",김대명,"30,116"
47,"
추억은 만남보다 이별에 남아
",정동하,"53,566"
48,"
잠이 오질 않네요
",장범준,"144,604"
49,"
Off My Face
",Justin Bieber,"62,592"
50,"
넌 좋은 사람
",SG 워너비,"26,255"
51,"
취기를 빌려 (취향저격 그녀 X 산들)
",산들,"196,959"
52,"
비 오는 날 듣기 좋은 노래 (Feat. Colde)
",에픽하이 (EPIK HIGH),"45,507"
53,"
2002
",Anne-Marie,"365,737"
54,"
슈퍼스타
",미도와 파라솔,"24,783"
55,"
봄날
",방탄소년단,"545,945"
56,"
전쟁터 (with 이선희)
",AKMU (악뮤),"23,830"
57,"
METEOR
",창모 (CHANGMO),"267,264"
58,"
그날에 나는 맘이 편했을까
",이예준,"58,898"
59,"
Life Goes On
",방탄소년단,"223,303"
60,"
허리춤
",오반 (OVAN),"26,667"
61,"
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
",장범준,"290,974"
62,"
VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
","미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)","188,125"
63,"
Coin
",아이유,"99,810"
64,"
마.피.아. In the morning
",ITZY (있지),"58,193"
65,"
내사람
",SG 워너비,"68,512"
66,"
On The Ground
",로제 (ROSÉ),"136,147"
67,"
모든 날, 모든 순간 (Every day, Every Moment)
",폴킴,"372,540"
68,"
나랑 같이 걸을래 (바른연애 길잡이 X 적재)
",적재,"108,914"
69,"
12:45 (Stripped)
",Etham,"144,859"
70,"
오래된 노래
",스탠딩 에그,"231,895"
