	가사
0	"[호영]
사랑아 뒤돌아 보지마
나를 위한거 라면 괜찮아 그대로 가
너를 사랑했으니 이별도 난 배울거야
언젠가 돌아올 사랑을 위해서

아파도 웃으며 난 너를 보낼거야
떠나는 니가 편할수 있도록
괜찮아 나를 봐 지금 웃고 있잖아
사랑과 이별 다 너와 했으니

너를 사랑했기에 정말 사랑했기에
널 위한 이별도 난 견뎌낼거야

사랑아 뒤돌아 보지마
나를 위한거 라면 괜찮아 그대로 가
너를 사랑했으니 이별도 난 배울거야
언젠가 돌아올 사랑을 위해서 잘가

[데니안]
어김없이 봄이 또 사라져가
여름이 오기 때문에 또 사라져가
붙잡고 싶어도 잡히지 않아
그건 당연한 이치잖아 그렇듯
사랑은 이별을 데리고 오는 거래
이별이 가면 또 사랑 찾아온대
난 못해 내가 어떻게 널 보내
너 없는 세상을 어떻게 이겨내

[호영]
너를 사랑했기에 (잊지 못한 채) 정말 사랑했기에 (매일 울 것 같아)
널 위한 이별도 난 견뎌낼거야 (너 없는 세상을 어떻게 이겨내)

[태우]
사랑아 뒤돌아 보지마
나를 위한거 라면 괜찮아 그대로 가 (그대로 가)
너를 사랑했으니 이별도 난 배울거야
언젠가 돌아올 사랑을 위해서

[호영]
잘가

정말 나 너를 보내도 괜찮을런지
끝이라고 안된다고
이렇게 널 보내도 괜찮을런지
가는 널 왜 붙잡지 못한걸까

[태우]
가지마 날 두고 가지마
나를 이대로 내버려 둔 채로 가지마
가슴을 조여와 널 위해 묻어둔 사랑이
내 사랑아 제발 날 두고가지마

[호영]
제발
제발"
1	"저 달빛에 띈
찬 푸른 먼지
자꾸 마음이 어지러워
내 세상을 지키는 게
바닥에 닿지 못할
우물 같은 마음은
한 마디 건네는 것조차도 힘이 드니까
나를 보는 눈빛을
나는 알고 있어
그래도 날 나를 놓치는 마
긴 하루 종일
날 울리는 생각들
그건 생각일 뿐이라고
스스로를 달래는 말
바닥에 닿지 못할
우물 같은 마음은
한 마디 건네는 것조차도 힘이 드니까
나를 보는 눈빛을
나는 알고 있어
그래도 날 나를 놓치는 마
하얀색 연필처럼
보이지 않는 맘을
어떻게 말해야 하는지 난 알 수 없어서
그저 웃어 보이고 나를 감추곤 해
그래도 날 나를 놓치는 마
그래도 날"
2	"하루가 일년같았던 시간들
그속에서 살았는데
아직도 쉬운게 하나도 없어
너없이 나는 이런가봐
멍하니 하루를 보내고
어제와 똑같은 하루를 보냈어
시간이 가도 나의 맘은 변하지 않아
어떻게 잊어야하는지
그게 더 두려워지는데
끝에 서 있는 나를 불러줘 부탁이야
답답해 오늘따라 더 답답해
이런 날은 더 힘들어
아프고 아팠어 누구보다 더
왜 아직 나는 이래야해
멍하니 하루를 보내고
어제와 똑같은 하루를 보냈어
시간이 가도 나의 맘은 변하지 않아
어떻게 잊어야하는지
그게 더 두려워지는데
끝에 서 있는 나를 불러줘 부탁이야
어두워진 하늘을 바라보다가
눈물이 흘러내려
나의 맘을 달래주듯이
멍하니 하루를 보내고
어제와 똑같은 하루를 보냈어
시간이 가도 나의 맘은 변하지 않아
어떻게 잊어야하는지
그게 더 두려워지는데
끝에 서 있는 나를 불러줘 부탁이야"
3	"힐끔 또 바라보네요
딱히 해야 할 말도 정해놓지 않은 채
흠칫 또 놀라곤 해요
대놓고 바라보고 있으면서
괜히 들킬까 봐
나는 말하지 않을래요
아무것도 모르는 채 나를
바라보는 그 눈빛
그것마저 또 설레는 걸요
나만 알고 있다는 그 느낌도
괜히 좋은걸요
좋아하는 사람이
그대라는 게 뿌듯하기도 해요
알고 있어요
언제까지 숨길 순 없겠죠
가득 찬 풍선처럼 터질 수도 있어요
몇 번 더 웃어주면
그대 무슨 표정 할까요
솔직한 내 고백 앞에 두고
싱긋 웃어줄까요
그래주면 정말 좋을 텐데
나만 알고 있다는 그 느낌도
괜히 좋은걸요
좋아하는 사람이
그대라는 게 뿌듯하기도 해요
알고 있어요
언제까지 숨길 순 없겠죠
가득 찬 풍선처럼 터질 수도 있어요
몇 번 더 웃어주면
그렇다고 웃지 말란 말은 아녜요
그러니까 내가 하고 싶은 말은
나만 알고 있기엔
혼자서 간직하고 있기엔
예쁜 맘이에요 그대에게도
보여주고 싶어요
좋아한다는 이 한마디 건네려고 여태
헤매었네요 이젠 못 참겠어요
사랑에 빠진 것을"
4	"묵혀있던 진실들은 하나둘씩
땅 위로 올라온다
지나온 아픈 상처들을
그 누가 씻어주리
외치고 외쳤던
우리들의 진실의 목소리
이 땅에 울려 퍼지는 해방의 목소리
바위처럼 굳건히 한자리에서
나비처럼 자유롭게 훨훨
이제는 날아가리 참세상으로
평화의 디딤돌로 해방의 주춧돌로
맞잡은 두 손 이제는 놓지 않을래
나가자 앞으로 함께 가자 이 길을
우리 희망 모아
외치고 외쳤던
우리들의 진실의 목소리
이 땅에 울려 퍼지는 해방의 목소리
바위처럼 굳건히 한자리에서
나비처럼 자유롭게 훨훨
이제는 날아가리 참세상으로
평화의 디딤돌로 해방의 주춧돌로
맞잡은 두 손 이제는 놓지 않을래
나가자 앞으로 함께 가자 이 길을
우리 희망 모아
이제는 날아가리 참세상으로
평화의 디딤돌로 해방의 주춧돌로
맞잡은 두 손 이제는 놓지 않을래
나가자 앞으로 함께 가자 이 길을
우리 희망 모아"
5	"어제가 조금 힘든 하루였어서
오늘은 살짝 지친 채 시작됐던 아침
아 걷고 싶다 거리
수많은 사람들 사이를
먼 예전에 그랬듯
테이크아웃 컵 들고 얘기 나누며
평범한 일상들이
당연하다 생각했는데
참 그리워진다
돌아보지 말기 다시 만들어가기
나는 나는 내일은 정말
다시 걷고 싶다
어제가 조금 힘든 하루였어서
오늘은 살짝 지친 채 시작됐던 아침
아 걷고 싶다 거리
수많은 사람들 사이를
먼 예전에 그랬듯
친구들 함께 영화도 보고
평범한 일상들이
당연하다 생각했는데
참 그리워진다
돌아보지 말기 다시 만들어가기
나는 나는 내일은 정말
다시 걷고 싶다
다시 걷고 싶다
다시 걷고 싶다
다시 걷고 싶다
다시 걷고 싶다"
6	"널 처음 봤던 순간 환하게 웃던 모습
시간이 멈추고 너만 보이는 것 같아
햇살 같이 따뜻했던
바다 같이 티 없었던
그 기억 속에 웃는 널 기억해
네 웃음이 내리쬐는
그곳에는 너만 있어
아무것도 필요 없어
내 손 잡는 네 그 손만
그 자리에 있어 주면
모든 시간이 멈출 거야
그럼 우리 둘만의
우주선을 타는 거야
You're so lovely
when you look at me and smile baby
You're so lovely
when you look at me and smile baby
바다를 떠다니는 배 위에 하늘 같아
온 세상이 다 너로 보이는 것만 같아
햇살같이 따뜻했던
바다같이 티 없었던
날 바라보며 웃는 네가 보여
네 웃음이 내리쬐는
그곳에는 너만 있어
아무것도 필요 없어
내 손 잡는 네 그 손만
그 자리에 있어 주면
모든 시간이 멈출 거야
그럼 우리 둘만의
우주선을 타는 거야
네 웃음이 내리쬐는
그곳에는 너만 있어
아무것도 필요 없어
내 손 잡는 네 그 손만
그 자리에 있어 주면
모든 시간이 멈출 거야
그럼 우리 둘만의
우주선을 타는 거야
You're so lovely
when you look at me and smile baby
You're so lovely
when you look at me and smile baby
이대로 영원히
우리 시간이 멈추지 않길 변치 않길
네 웃음이 내리쬐는
그곳에는 너만 있어
아무것도 필요 없어
내 손 잡는 네 그 손만
그 자리에 있어 주면
모든 시간이 멈출 거야
그럼 우리 둘만의
우주선을 타는 거야
네 웃음이 내리쬐는
그곳에는 너만 있어
아무것도 필요 없어
내 손 잡는 네 그 손만
그 자리에 있어 주면
모든 시간이 멈출 거야
그럼 우리 둘만의
우주선을 타는 거야
You're so lovely
when you look at me and smile baby
You're so lovely
when you look at me and smile baby
You're so lovely
when you look at me and smile baby
You're so lovely
when you look at me and smile baby"
7	"그대의짐 그대슬픔
내가모두 알 수 없지만
마음의짐 그대의생각 내려놓기를
힘이들땐 힘이 되줬고
외로울땐 나의 친구가 되줬고
숨이차던 나를위해 멈춰주었지
추억속에 소중했던 기억이
유난히 빛났던 그때의날
비탈길이 평탄하게 바뀌던 날
그대의 희생 고마워요
그대생각 그대의위로에 웃지
마음의벽 사랑으로 허물었지
뒤돌아보니 그대의 말
갇힌 날 위해 길이 되어주었어
추억속에 빛났었던 기억이
유난히 부셨던 그때의날
어지러운 나의길이 바뀌던날
그대의 마음에 감사해요
우리에게 행복했던 나날들이
기억이 되길 바래요
외로웠고 힘이들던 지난날들
이젠 내가 위로해 줄게요
고마워요 힘이 되줘서"
8	"앙상한 나무 위에 새싹이 피어올라
우릴 반길 때 내 마음도 그댈 기다려요
푸른 잎이 환하게 자라나면
나도 그대 마음에 저 잎들처럼
피어나고 싶어요
시간이 흘러 저 나무들이 피고 질 때
그때 그대도 나에게서 저물어 가줘요
마지막 잎이 저 바람에
흩날려 떨어지면
그땐 그땐 날 떠나가도 좋아요
추운 겨울 지나가고 나무 위에
꽃이 피어오르면
봄바람을 느낄 수가 있겠죠
시간이 흘러 저 나무들이 피고 질 때
그때 그대도 나에게서 저물어 가줘요
마지막 잎이 저 바람에
흩날려 떨어지면
그땐 날 떠나가도 좋아요
저 멀리 흩날려 가는 잎들은 언젠간 날
그대 곁에 데려갈 거에요
마지막 잎이 저 바람에
흩날려 떨어지면
그땐 그땐 날 떠나가도 좋아요"
9	"하루가 또 눈치도 없이 저무네
보고 싶은 그대 생각은 겨우내
텅 빈 방에 몸을 기대어
네가 없는 밤을 맞으면
나도 모르게 또 눈물이
네가 없는 밤은 흘러가고
네가 없는 아침이 찾아와
눈을 뜰 수 없어
혼자인 날 볼까 봐
너를 품에 안고 주고받던
우리 둘만의 그 대화들이
내 귓가에 아직 남아 있는데
네가 없는 하루를
의미 없는 하루를
아무 일도 없던 것처럼
아무렇지 않은 것처럼
겨우 이렇게 살고 있어
하나둘씩 지워져가
하나둘씩 무뎌져가
눈 깜빡이는 순간마저
널 보고 싶었었는데
서로 바라만 보고 있어도
따뜻했었는데
결국 멀어지는 널
붙잡지 못해 난 아무 말도
건네지 못했고
뒷모습만 보고 있었어
시간 지나 아무 일 없었던 것처럼
흘러가겠지 다시 또 이렇게
아무렇지 않은 척
다시 또 널 이렇게
밀어내야만 하는 걸
네가 없는 밤은 흘러가고
네가 없는 아침이 찾아와
눈을 뜰 수 없어
혼자인 날 볼까 봐
너를 품에 안고 주고받던
우리 둘만의 그 대화들이
내 귓가에 아직 남아 있는데
너와 마주 보고
너와 함께 거닐던
그때 그 순간들이
기억 속에 남아
그 때로 날 데려가
눈 감으면
네가 없는 밤은 흘러가고
네가 없는 아침이 찾아와
눈을 뜰 수 없어
혼자인 날 볼까봐
너를 품에 안고 주고받던
우리 둘만의 그 추억들이
내 눈가엔 아직 맺혀 있는데"
